NASH	Control	NASH	NASH	NASH	Control	NASH	Control
RL518-mf	RL585-mf	RL601-mf	RL606-mf	RL641-mf	RL654-mf	RL663-mf	RL686-mf
38.762	80.9849	69.4252	32.6472	26.3228	28.8643	35.3816	175.053
96.3142	99.0357	176.484	48.6283	106.734	72.4425	15.9093	434.271
0	0	0	0	0	0	0	0
4.22107	26.3716	20.0611	28.3463	17.4829	34.2552	11.0028	20.3677
136.76	126.458	207.864	65.5284	118.656	61.6589	36.8214	986.065
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
44.2926	80.2363	95.8497	56.0379	123.762	90.8814	68.3499	251.51
0	0	0	0	0	0	0	0
0	0	0	0	0	0	21.9794	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	6.35667	4.14655	6.67826	6.65881
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
153.131	251.425	224.628	72.3925	191.487	146.023	45.9491	1185.82
24.5462	0	0	0	1.73288	0	0	0
0	0	0	0	0	0	0	0
56.1308	142.04	58.2678	39.3075	165.374	42.7452	42.7568	308.188
0	0	0	0	0	0	0	10.7458
10.9728	0	0	0	10.6403	0	0	10.5398
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
137.471	146.382	198.167	73.6809	121.424	98.8613	26.5031	1490.54
131.768	156.712	201.934	76.4786	137.783	92.4924	30.269	1469.86
146.22	106.402	174.008	74.7082	139.973	29.3366	48.3766	1155.26
154.593	101.425	174.001	72.6139	222.378	25.5768	46.117	1242.59
54.6091	110.018	110.439	52.0486	166.827	15.2668	53.122	902.319
67.9823	150.664	129.131	60.7213	197.384	17.5985	70.3068	1077.52
0	0	0	0	0	0	0	0
0	19.2608	22.9669	15.7841	35.5534	0	13.8165	76.4389
70.0869	106.114	166.152	52.4589	94.8524	69.2604	64.5879	423.141
0	0	0	0	0	0	0	0
41.2077	81.6507	151.308	43.5564	86.3146	57.1394	10.2543	387.236
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	56.7919	0	36.6856	7.78812	12.394	5.25581
0	0	0	0	0	0	0	0
59.7173	0	11.5129	38.4255	60.5561	93.8779	35.0148	162.086
131.768	156.712	201.934	76.4786	137.783	92.4924	30.269	1469.86
19.9935	0	0	0	1.53297	0	0	0
17.2086	0	0	0	1.70131	0	0	0
18.3165	0	0	0	0	0	0	0
0	0	4.68235	0	0	0	0	22.206
0	0	0	0	0	0	0	0
0	4.09591	0	0	3.83477	1.93548	5.62396	16.0715
169.509	151.395	301.286	65.0392	83.5359	65.5452	18.7635	900.616
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
27.1654	24.4702	29.1321	8.13056	8.9539	14.7979	12.1248	71.525
86.9757	100.753	208.836	50.8461	107.824	51.9758	43.7779	561.805
88.1506	93.7241	197.103	51.3046	112.2	53.1907	44.4594	532.116
91.4858	105.565	228.097	59.7239	128.534	71.6947	46.7802	662.621
0	0	0	0	7.50743	0	0	6.99925
10.6301	33.72	0	0	0	15.4346	14.4779	35.7267
0	34.9451	0	0	0	0	9.90592	0
0	0	0	0	0	0	0	0
25.6485	19.3524	86.2971	38.4182	0	0	9.62294	194.892
18.1398	0	0	0	1.30027	0	0	0
89.9368	79.8436	218.705	24.4417	75.6144	47.654	5.2603	622.055
0	0	0	0	3.7266	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	10.6351	11.5178
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
5.93294	8.29391	0	8.00486	0	12.1006	0	840.951
0	11.7944	35.0822	0	0	0	0	44.6143
0	0	0	0	0	0	0	6.19421
20.7793	14.4726	17.1196	4.47536	4.61931	6.49096	4.85678	42.2897
0	0	0	0	0	0	0	6.0956
40.2575	37.2422	54.3943	15.0386	35.346	17.1549	19.2135	166.392
119.789	134.596	269.968	128.331	150.266	92.1895	78.4661	609.778
0	0	0	0	0	0	0	0
17.0933	8.84839	24.1506	0	0	9.15798	7.58764	84.0044
0	4.67382	10.7028	0	0	0	0	6.57256
0	0	0	0	0	0	3.45797	0
39.9137	37.7162	79.2979	33.4345	53.5945	57.2003	14.2689	199.383
0	39.9543	64.3811	17.7012	41.2142	43.2238	9.20566	110.701
0	0	0	0	0	0	0	0
16.4383	17.2266	14.2051	4.30029	21.1848	31.8349	7.51096	95.1704
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
