RL509-mf	RL511-mf	RL514-mf	RL516-mf	RL518-mf	RL528-mf	RL568-mf	RL569-mf	RL573-mf	RL585-mf	RL591-mf	RL601-mf	RL605-mf	RL606-mf	RL607-mf	RL610-mf	RL613-mf	RL616-mf	RL627-mf	RL628-mf	RL641-mf	RL651-mf	RL654-mf	RL656-mf	RL659-mf	RL663-mf	RL665-mf	RL667-mf	RL668-mf	RL679-mf	RL680-mf	RL682-mf	RL683-mf	RL686-mf	RL691-mf	RL693-mf	RL700-mf	RL703-mf	RL704-mf	RL725-mf
RL591-mf	-0.760372249293121	-0.801284373364029	-0.464591425113718	0.392763274648388	-0.872215121116413	-0.744310182133897	-0.795494358605022	0.735365136087248	-0.630334661662006	-0.760596798362509	1	-0.806791264032036	-0.342865979172685	-0.803866667779071	0.147659930506397	0.670417936069594	-0.415580717762234	-0.804075761365048	0.255387771332788	-0.0086144232785845	-0.573412120537905	0.718985186653917	-0.433545416895486	0.471608491840747	-0.423387165575856	-0.063696196749996	0.873521978056722	0.598735746837686	0.687002834840834	0.280814700500235	0.744255672047675	0.702753694652892	-0.544782310242066	-0.517601176544832	0.55747532040817	0.80195399752963	0.73992358518766	0.689459125294304	0.712811641546482	0.522375207568941
RL601-mf	0.810957188735142	0.995926643203964	0.539071962175995	-0.216152133378805	0.841589135453871	0.930302841309544	0.936376371886878	-0.95409677797671	0.900549039961868	0.981752666188605	-0.806791264032036	1	0.694854431817705	0.965053510530947	-0.307683346796109	-0.585102040196814	0.791183598170409	0.87792133010954	-0.496686344781205	-0.179072205403905	0.192068392627817	-0.9714231871525	0.726779496635791	-0.360729979126199	0.72257928808373	0.239323894250633	-0.916057976398989	-0.738665851869934	-0.713042392983457	-0.370598037285414	-0.934855612018835	-0.930837505971298	0.564207318237889	0.807617612933893	-0.520307894280818	-0.955058060701172	-0.780028913818608	-0.939648388540317	-0.975917473634129	-0.882638905535122
RL605-mf	0.243156175964014	0.684119036750337	0.58480733040913	0.156515505958828	0.351782859036445	0.642315561636871	0.713973176658539	-0.772528508822274	0.656651120059311	0.728319089656031	-0.342865979172685	0.694854431817705	1	0.607942734994752	0.150795801910641	-0.224781206977952	0.877813582203762	0.435487002078544	-0.414333538031344	-0.153994129517125	-0.412669446717815	-0.806016767351715	0.49247284461068	-0.00340533047263818	0.613439756630506	0.417476083709349	-0.426478016932437	-0.264457121332717	-0.298268505990416	-0.16957748035625	-0.760611064346922	-0.731041548626434	0.289652408798175	0.620293482000714	-0.259867825657394	-0.654822154741078	-0.630838572251901	-0.719777192547634	-0.74799724809273	-0.853342047827086
RL606-mf	0.735702459226675	0.982658362729987	0.596362611929166	-0.10115703484112	0.787927697116168	0.979611091310239	0.858892589687545	-0.931210069061839	0.795516288935589	0.939731068040216	-0.803866667779071	0.965053510530947	0.607942734994752	1	-0.223788324468771	-0.426680012351038	0.661165895017488	0.846235654694011	-0.650369061270253	-0.388405130986035	0.343220250935731	-0.917779956044867	0.645565850854358	-0.392138972535294	0.568211899925289	0.418025690098275	-0.896406509111279	-0.77830009857114	-0.751626419157161	-0.589989021762552	-0.874785437284817	-0.964007826969168	0.532835852064761	0.741431781995846	-0.345201123790933	-0.98247435291798	-0.645873766672386	-0.940461895657114	-0.963247590849733	-0.782472751713619
RL607-mf	-0.675003444209815	-0.265967871592562	0.126740628671953	0.241194855579899	-0.369187896786987	-0.116820839754024	-0.166850191504652	0.0722497771534456	-0.415349186503555	-0.217266534705412	0.147659930506397	-0.307683346796109	0.150795801910641	-0.223788324468771	1	0.419492118679413	-0.107734078703357	-0.27597773488329	0.0130512440269684	-0.181018849000094	-0.00682002385054466	0.165599827212598	-0.547361183703225	0.0143836205689904	-0.54169206114041	0.459557036370436	0.420558884263045	0.458387844418409	0.385555433227077	-0.177743939826827	0.193932056933143	0.118854462784652	0.0194675514256406	-0.492852170343009	0.603829267352208	0.159662507092314	0.0750723891194338	0.149076260283381	0.214950200995632	0.252593109180573
RL610-mf	-0.825008076457807	-0.538256626026223	-0.048787322787955	0.681491553425458	-0.762317241009024	-0.297793903859895	-0.63669482916626	0.493318158291176	-0.746820120710917	-0.59837552161142	0.670417936069594	-0.585102040196814	-0.224781206977952	-0.426680012351038	0.419492118679413	1	-0.527457927686379	-0.657561167566494	-0.363049456384765	-0.6323580321081	-0.109945042179176	0.560617615758188	-0.622332985781227	0.275787224397116	-0.701582896297618	0.59956233859952	0.73173449570036	0.516216825366445	0.468855595715218	-0.398602032860574	0.480417121109358	0.296542837616889	-0.469137383533936	-0.531018229242351	0.806312820088711	0.372581616648022	0.768339622761031	0.457406643069783	0.443571000947152	0.448068724722
RL613-mf	0.537638695690844	0.77137821440558	0.299888815860679	-0.245613747045743	0.587380025757688	0.665839151995186	0.848501030871741	-0.848960982821553	0.869509830191124	0.855969219816207	-0.415580717762234	0.791183598170409	0.877813582203762	0.661165895017488	-0.107734078703357	-0.527457927686379	1	0.690759655905823	-0.190996160599266	0.073185782985571	-0.306111205412199	-0.898404236197873	0.647898140510808	-0.211971013162344	0.757729602741118	0.102646237551613	-0.587959006167819	-0.42117442103637	-0.30169339888943	-0.00779602822569049	-0.814329268294427	-0.694408659265279	0.567788147821397	0.665718639831738	-0.394267516361608	-0.673454178034383	-0.81505729197658	-0.798435941067737	-0.817816518238198	-0.925651398331822
RL616-mf	0.84041198078907	0.876361593460955	0.133288573390978	-0.598197128032967	0.945417698848123	0.83696142860838	0.922383890869467	-0.855214821995924	0.793242745302438	0.890002285742352	-0.804075761365048	0.87792133010954	0.435487002078544	0.846235654694011	-0.27597773488329	-0.657561167566494	0.690759655905823	1	-0.22418276661932	-0.00574358948135868	0.452545027218721	-0.859503790767715	0.492086892651336	-0.687222542809529	0.491344680973142	0.045319852956408	-0.840063600442936	-0.624492668813926	-0.457660877262075	-0.253846497729005	-0.859036238954274	-0.720432140662701	0.863312852381037	0.498019088563438	-0.384574122006618	-0.839750866640921	-0.849352463571616	-0.834830428640689	-0.8597065979321	-0.730386828793154
RL627-mf	-0.0944651454429262	-0.544909997551208	-0.693081719931789	-0.562089946590418	-0.10356873876146	-0.69878253966601	-0.289798668219839	0.502909611879981	-0.2259401031067	-0.439798180990923	0.255387771332788	-0.496686344781205	-0.414333538031344	-0.650369061270253	0.0130512440269684	-0.363049456384765	-0.190996160599266	-0.22418276661932	1	0.916897758118134	-0.16878663869165	0.433616412861544	-0.278449987642642	-0.0489945534242193	-0.125291926459908	-0.85732393023749	0.332851273097891	0.405868861378334	0.519762062165895	0.90208311487274	0.442256253257517	0.748844361674294	0.0470165075284311	-0.457353535202411	-0.154303425088864	0.668641985827585	-0.0538470300162414	0.519708537407331	0.572664612600391	0.425564305652033
RL628-mf	0.20205510862474	-0.247409469718329	-0.48140233692358	-0.597589305381739	0.167632681670029	-0.473269831616652	-0.00141158598970756	0.247628005636285	0.0823628662372692	-0.153316217703363	-0.0086144232785845	-0.179072205403905	-0.153994129517125	-0.388405130986035	-0.181018849000094	-0.6323580321081	0.073185782985571	-0.00574358948135868	0.916897758118134	1	-0.232972956233139	0.135539551745437	0.010051179524499	-0.0739917693101544	0.214278495523983	-0.896475261956201	0.0258442931003278	0.182337699108724	0.258936092307972	0.941228798524897	0.138992033930653	0.490911291964137	0.115893075714111	-0.12548271327296	-0.489216029842256	0.410540499311932	-0.318363015843073	0.256475620193771	0.290266198582905	0.129452828200936
