"OTU"	"RL704.mf"	"RL703.mf"	"RL683.mf"	"RL651.mf"	"RL641.mf"	"RL628.mf"	"RL610.mf"	"RL607.mf"	"RL605.mf"	"RL591.mf"	"RL569.mf"	"RL514.mf"
"14"	"Bilophila"	0.00232939128654073	0	0.000265248080635417	0.000529847183678608	0	0	0	0	0	0.000433974469200095	0	0
"15"	"Blautia"	0.0373982491168791	0.0657529194837124	0.0655015399124681	0.12096778424203	0.195008883533808	0.0275860464845817	0.0221843892778347	0.128588836986023	0.0850892889749114	0.17824887207579	0.0078113331541058	0.0341842331524801
"16"	"Butyricicoccus"	0	0	0	0	0.00220556701451998	0	0	0	0	0	0	0
"17"	"Butyricimonas"	0.00834485230123381	0.000565457897971727	0.0030110569153613	0.00751228878245314	0	0	0.000972847141392909	0	0	0	0	0
"18"	"Butyrivibrio"	0	0	0	0	0	0	0	0	0	0	0	0.0403806813128169
"19"	"Campylobacter"	0	0	0	0.000264923591839304	0	0	0	0	0	0	0	0
"20"	"Catenibacterium"	0	0	0	0	0	0	0	0	0	0	0	0.00281656734560764
"21"	"Clostridium"	0	0.0175414874001229	0.0044502733528831	0.109788533267583	0	0	0.000191094974202178	0	0.0605119964941752	0	0.0106341667413448	0.000266832695899671
"22"	"Collinsella"	0.0303759449819963	0	0.00839952255345486	0.0156672140005561	0	0.105558495327701	0.0167989854594097	0.0294584664241798	0.0816199832012563	0.00991590721134557	0	0.00308340004150731
"23"	"Coprobacillus"	0	0.00197910264290104	0	0	0	0	0	0	0	0	0.00455536637094124	0
"24"	"Coprobacter"	0	0	9.82400298649691e-06	0	0	0	0	0	0	0	0	0
"25"	"Coprococcus"	0.0729449308008669	0.0499692685925015	0.0675842285456055	0.0545113077782616	0	0.00689651162114543	0.0647290794433925	0.158250401580473	0.0764342840448453	0.0986350274714027	0.0454192430624011	0.0359038216371668
"26"	"Desulfovibrio"	0	0	0.00102169631059568	0	0	0	0	0	0	0.00650961703800142	0	0
"27"	"Dialister"	0.0162972064369699	0	0	0	0	0	0	0.0155831687007256	0	0	0	0
"28"	"Dielma"	0	0.00181929932390903	0	0	0	0	0	0	0	0.000384845284007631	0	0
